question,answer,category,keywords,original_title,original_publish_date,source_department,original_url,post_id,confidence_score,created_at
这学期期末考试时间是怎么安排的？,2024、2025级考试周为第17周周一至第18周周三（2025年12月22日至12月31日），其他年级为第19、20周（2026年1月5日至1月16日）。,教务教学,期末考试 时间安排 考试周 座位安排 公共课,本科生2025-2026学年第一学期期末考试工作安排,2025.12.11,考试,https://jw.scut.edu.cn/zhinan/cms/article/view.do?type=posts&id=eec18a7b9a81cf00019b0ca53a56002a,eec18a7b9a81cf00019b0ca53a56002a,0.8,2026-06-06 16:42:18
考试每天几点考？座位怎么安排？,考试时间两小时，上午9:00-11:00，下午15:00-17:00，晚上19:00-21:00。座位按双隔位安排。,教务教学,期末考试 时间安排 考试周 座位安排 公共课,本科生2025-2026学年第一学期期末考试工作安排,2025.12.11,考试,https://jw.scut.edu.cn/zhinan/cms/article/view.do?type=posts&id=eec18a7b9a81cf00019b0ca53a56002a,eec18a7b9a81cf00019b0ca53a56002a,0.8,2026-06-06 16:42:18
专业选修课选课时间是什么时候？,第一轮：2025年12月29日9:00至2026年1月4日9:00；第二轮：2026年1月5日13:00至1月7日12:00；第四轮（退改选）：2026年3月9日13:00至3月13日9:00。,教务教学,选课 专业选修课 时间安排 选课原则 退改选,关于2025-2026学年第二学期专业选修课网上选课的通知,2025.12.26,选课,https://jw.scut.edu.cn/zhinan/cms/article/view.do?type=posts&id=eec18a7b9b43f62c019b5871f130000a,eec18a7b9b43f62c019b5871f130000a,0.8,2026-06-06 16:42:22
专业选修课选课原则是什么？,第一轮非先报先得，不设名额上限；第二轮有名额限制的课程先报先得。,教务教学,选课 专业选修课 时间安排 选课原则 退改选,关于2025-2026学年第二学期专业选修课网上选课的通知,2025.12.26,选课,https://jw.scut.edu.cn/zhinan/cms/article/view.do?type=posts&id=eec18a7b9b43f62c019b5871f130000a,eec18a7b9b43f62c019b5871f130000a,0.8,2026-06-06 16:42:22
如何进行专业选修课的退改选？,本学院学生在‘自主选课-主修课程’退改选，跨学院学生在‘自主选课-跨学院选课’退改选。第四轮选课期间进行。,教务教学,选课 专业选修课 时间安排 选课原则 退改选,关于2025-2026学年第二学期专业选修课网上选课的通知,2025.12.26,选课,https://jw.scut.edu.cn/zhinan/cms/article/view.do?type=posts&id=eec18a7b9b43f62c019b5871f130000a,eec18a7b9b43f62c019b5871f130000a,0.8,2026-06-06 16:42:22
百步梯通识教育课程什么时候选课？,2025年12月29日上午8:00至12月30日上午9:00。,教务教学,选课 通识教育 百步梯 学分要求 选课时间,关于开展2025-2026学年第二学期百步梯创新学院通识教育课程网上选课工作的通知,2025.12.26,选课,https://jw.scut.edu.cn/zhinan/cms/article/view.do?type=posts&id=eec18a7b9b43f62c019b58b40101000d,eec18a7b9b43f62c019b58b40101000d,0.8,2026-06-06 16:42:25
选课有什么学分要求？,需在“四史”中选1门必修，至少修2学分公共艺术通识课，其余不足学分可从全校通识课中选修。,教务教学,选课 通识教育 百步梯 学分要求 选课时间,关于开展2025-2026学年第二学期百步梯创新学院通识教育课程网上选课工作的通知,2025.12.26,选课,https://jw.scut.edu.cn/zhinan/cms/article/view.do?type=posts&id=eec18a7b9b43f62c019b58b40101000d,eec18a7b9b43f62c019b58b40101000d,0.8,2026-06-06 16:42:25
选课是先到先得吗？,不是，选课不设名额上限，选课结束后系统根据课程容量随机筛选，保证每人至少修读一门。,教务教学,选课 通识教育 百步梯 学分要求 选课时间,关于开展2025-2026学年第二学期百步梯创新学院通识教育课程网上选课工作的通知,2025.12.26,选课,https://jw.scut.edu.cn/zhinan/cms/article/view.do?type=posts&id=eec18a7b9b43f62c019b58b40101000d,eec18a7b9b43f62c019b58b40101000d,0.8,2026-06-06 16:42:25
跨学院选课什么时候开始？,2026年1月9日13:00至1月14日9:00进行选课，退改选在2026年3月9日13:00至3月13日9:00。,教务教学,跨学院选课 选课时间 选课对象 名额限制,关于2025-2026学年第二学期跨学院修课网上选课的通知,2025.12.30,选课,https://jw.scut.edu.cn/zhinan/cms/article/view.do?type=posts&id=eec18a7b9b43f62c019b6e2fc6e70016,eec18a7b9b43f62c019b6e2fc6e70016,0.8,2026-06-06 16:42:28
哪些学生可以参加跨学院选课？,全校在读本科生均可参加，五山和大学城校区课程面向两校区学生，广州国际校区课程面向该校区学生。,教务教学,跨学院选课 选课时间 选课对象 名额限制,关于2025-2026学年第二学期跨学院修课网上选课的通知,2025.12.30,选课,https://jw.scut.edu.cn/zhinan/cms/article/view.do?type=posts&id=eec18a7b9b43f62c019b6e2fc6e70016,eec18a7b9b43f62c019b6e2fc6e70016,0.8,2026-06-06 16:42:28
